,Industrial islands,Inhabited islands,Islands under development,Live aboard,Malé area,Non-operational Resorts,Operational Resorts,Total number of cases,date
0,95,96,0,0,94,0,15,300,2021-04-01 18:00:00
1,79,74,0,0,73,0,15,241,2021-03-31 18:00:00
2,1,59,0,0,86,0,21,167,2021-03-30 18:00:00
3,2,69,1,0,65,0,10,147,2021-03-29 18:00:00
4,13,46,0,1,49,0,12,121,2021-03-28 18:00:00
5,1,52,0,11,91,0,11,166,2021-03-27 18:00:00
6,66,11,0,0,59,0,10,146,2021-03-26 18:00:00
7,1,45,0,2,99,0,15,162,2021-03-25 18:00:00
8,0,31,0,0,89,0,19,139,2021-03-24 18:00:00
9,0,11,0,0,91,0,26,128,2021-03-23 18:00:00
10,0,4,7,0,120,0,18,149,2021-03-22 18:00:00
11,0,17,1,6,102,0,14,140,2021-03-21 18:00:00
12,0,22,0,0,52,0,7,81,2021-03-20 18:00:00
13,0,21,1,5,104,0,14,145,2021-03-19 18:00:00
14,0,11,0,0,112,0,19,142,2021-03-17 18:00:00
15,0,13,3,3,132,0,2,153,2021-03-16 18:00:00
16,0,7,0,0,80,0,7,94,2021-03-15 18:00:00
17,1,10,0,0,75,0,10,96,2021-03-14 18:00:00
18,0,14,0,0,65,0,15,94,2021-03-13 18:00:00
19,0,14,0,0,86,0,14,114,2021-03-12 18:00:00
20,0,13,0,0,100,0,11,124,2021-03-11 18:00:00
21,0,2,0,0,84,0,24,110,2021-03-10 18:00:00
22,0,5,0,0,98,0,12,115,2021-03-09 18:00:00
23,0,9,0,0,103,0,13,125,2021-03-08 18:00:00
24,0,10,0,0,92,0,29,131,2021-03-07 18:00:00
25,0,6,0,0,78,0,14,98,2021-03-06 18:00:00
26,0,4,0,0,95,0,19,118,2021-03-05 18:00:00
27,0,17,0,0,135,0,15,167,2021-03-04 18:00:00
28,0,0,0,2,124,0,10,136,2021-03-03 18:00:00
29,1,13,0,0,132,0,19,165,2021-03-02 18:00:00
30,0,23,0,1,152,0,10,186,2021-03-01 18:00:00
31,0,4,0,2,178,0,12,196,2021-02-28 18:00:00
32,0,5,0,5,92,0,16,118,2021-02-27 18:00:00
33,0,4,0,0,117,0,12,133,2021-02-26 18:00:00
34,5,10,0,0,145,0,24,184,2021-02-25 18:00:00
35,0,12,0,0,76,0,20,108,2021-02-23 18:00:00
36,0,4,0,1,139,0,17,161,2021-02-22 18:00:00
37,0,20,0,0,103,0,34,157,2021-02-21 18:00:00
38,0,22,0,2,89,0,32,145,2021-02-20 18:00:00
39,0,10,0,2,98,0,17,127,2021-02-18 18:00:00
40,0,3,0,1,108,0,4,116,2021-02-18 18:00:00
41,0,6,0,2,129,0,5,142,2021-02-17 18:00:00
42,0,3,0,0,120,0,6,129,2021-02-16 18:00:00
43,1,14,0,0,104,0,6,125,2021-02-15 18:00:00
44,5,11,1,0,81,0,14,112,2021-02-14 18:00:00
45,73,15,0,14,101,0,6,209,2021-02-13 18:00:00
46,0,8,0,3,99,0,10,120,2021-02-12 18:00:00
47,0,14,0,0,162,0,10,186,2021-02-11 18:00:00
48,0,10,0,0,75,0,15,100,2021-02-10 18:00:00
49,0,11,0,0,154,0,27,192,2021-02-09 18:00:00
50,0,19,0,0,98,0,9,126,2021-02-08 18:00:00
51,0,15,0,0,92,7,13,127,2021-02-07 18:00:00
52,0,11,0,0,78,0,20,109,2021-02-06 18:00:00
53,0,20,0,0,110,0,7,137,2021-02-05 18:00:00
54,1,9,0,0,110,1,13,134,2021-02-04 18:00:00
55,0,4,0,0,102,0,15,121,2021-02-03 18:00:00
56,0,5,0,0,82,0,12,99,2021-02-02 18:00:00
57,0,8,0,1,159,27,20,215,2021-02-01 18:00:00
58,0,4,0,1,88,,12,105,2021-01-31 18:00:00
59,0,4,0,3,90,,25,122,2021-01-29 18:00:00
60,0,21,0,0,87,,10,118,2021-01-29 18:00:00
61,0,4,0,1,93,,8,106,2021-01-28 18:00:00
62,0,7,0,0,112,,24,143,2021-01-27 18:00:00
63,0,14,,2,93,,36,145,2021-01-26 18:00:00
64,0,11,,0,78,,20,109,2021-01-25 18:00:00
65,0,5,,1,79,,23,108,2021-01-24 18:00:00
66,0,9,0,0,31,,15,55,2021-01-23 18:00:00
67,0,1,0,0,38,,26,65,2021-01-22 18:00:00
68,0,5,1,1,29,,17,53,2021-01-21 18:00:00
69,0,6,0,2,36,,35,79,2021-01-20 18:00:00
70,0,2,0,0,32,,17,51,2021-01-19 18:00:00
71,0,8,0,0,35,,26,69,2021-01-18 18:00:00
72,0,3,0,1,19,,28,51,2021-01-17 18:00:00
73,0,13,0,3,30,,41,87,2021-01-16 18:00:00
74,0,16,0,0,27,,07,50,2021-01-15 18:00:00
75,0,15,0,0,19,,14,48,2021-01-14 18:00:00
76,0,9,0,0,17,,33,59,2021-01-13 18:00:00
77,0,20,0,0,33,,6,59,2021-01-12 18:00:00
78,0,3,0,0,19,,28,50,2021-01-11 18:00:00
79,0,16,0,0,24,,4,44,2021-01-10 18:00:00
80,0,0,0,0,15,,10,25,2021-01-09 18:00:00
81,0,6,0,1,11,,34,52,2021-01-08 18:00:00
82,0,2,0,0,17,,2,21,2021-01-07 18:00:00
83,0,1,0,3,26,,7,37,2021-01-06 18:00:00
84,0,2,0,1,20,,15,37,2021-01-05 18:00:00
85,0,3,0,1,11,,11,26,2021-01-04 18:00:00
86,1,1,0,1,24,,6,33,2021-01-03 18:00:00
87,0,0,0,0,17,,13,30,2021-01-02 18:00:00
